[767, 153]
[768, 857]
[769, 806]
[770, 262]
[771, 859]
[772, 607]
[773, 386]
[777, 645]
[778, 920]
[780, 620]
[782, 983]
[783, 26]
[785, 28]
[787, 134]
[788, 79]
[789, 523]
[795, 970]
[796, 147]
[798, 805]
[799, 925]
[802, 913]
[803, 413]
[805, 533]
[806, 381]
[807, 700]
[808, 265]
[809, 652]
[814, 179]
[815, 161]
[819, 414]
[821, 610]
[824, 963]
[825, 13]
[827, 841]
[828, 101]
[829, 626]
[832, 64]
[833, 82]
[837, 173]
[838, 356]
[839, 402]
[840, 423]
[844, 310]
[846, 573]
[848, 886]
[852, 34]
[857, 372]
[858, 507]
[859, 504]
[860, 377]
[862, 344]
[863, 92]
[864, 65]
[867, 909]
[868, 170]
[869, 628]
[872, 544]
[873, 993]
[875, 603]
[876, 604]
[877, 468]
[881, 704]
[882, 559]
[886, 556]
[889, 500]
[891, 126]
[892, 633]
[893, 437]
[896, 331]
[897, 324]
[900, 139]
[901, 367]
[902, 240]
[903, 242]
[905, 487]
[911, 397]
[912, 73]
[913, 281]
[916, 644]
[920, 956]
[921, 459]
[922, 629]
[923, 450]
[924, 209]
[926, 892]
[927, 984]
[928, 420]
[929, 403]
[930, 554]
[931, 825]
[933, 446]
[942, 192]
[943, 55]
[944, 430]
[946, 647]
[947, 286]
[951, 299]
[954, 143]
[955, 762]
[959, 964]
[960, 587]
[962, 175]
[963, 711]
[964, 585]
[965, 21]
[966, 580]
[967, 235]
[971, 172]
[973, 752]
[974, 904]
[977, 508]
[979, 981]
[980, 598]
[982, 246]
[987, 23]
[988, 693]
[989, 869]
[992, 678]
[993, 732]
[996, 737]
[997, 910]
[998, 955]
